O que faz uma função de ativação como a ReLU?,Torna a rede neural linear,Calcula a perda do modelo,Atualiza os pesos dos neurônios,Introduz não-linearidade na rede neural,D,A não-linearidade permite que a rede neural aprenda padrões complexos e não lineares nos dados. 
Qual papel do Gradiente Descendente?,Gerar novas imagens sintéticas,Mudar o tamanho do lote de dados,Medir o tempo de execução do código,Atualizar pesos do modelo para reduzir a perda,D,É um algoritmo de otimização usado para encontrar os pesos que minimizam o erro do modelo. 
O que representa a "Janela de Contexto" de um LLM?,Limite máximo de tokens que o modelo processa por vez,O tempo que o modelo leva para responder,O tamanho da tela da interface do usuário,A quantidade de memória do servidor,A,Determina o volume total de texto (entrada + saída) que a IA consegue reter na memória de trabalho. 
O que significa "Zero-shot learning"?,Treinar um modelo com zero dados,Um modelo que usa apenas imagens preto e branco,O modelo falha em todas as tentativas,Realizar tarefas sem ver exemplos no treino,D,O modelo usa seu conhecimento geral para resolver um problema sem exemplos prévios no prompt. 
Qual algoritmo é ideal para agrupar dados não rotulados por similaridade?,Random Forest,Regressão Linear,K-Means,Naïve Bayes,C,O K-Means é um algoritmo clássico de aprendizado não supervisionado focado em agrupamento (clustering). 
O que mede a métrica BLEU no contexto de IA?,A velocidade de geração de tokens,A quantidade de energia gasta pela GPU,A estabilidade do servidor de inferência,A qualidade de traduções automáticas via referências,D,A BLEU score avalia a similaridade entre o texto gerado e uma tradução humana de referência. 
O que faz a técnica de "Pruning" (Poda) em redes neurais?,Exclui arquivos antigos do disco,Formata o dataset de texto,Adiciona mais neurônios à rede,Remove conexões irrelevantes para reduzir o modelo,D,A poda reduz a complexidade e tamanho do modelo removendo pesos próximos de zero. 
Qual a função do algoritmo Backpropagation?,Ajustar os hiperparâmetros do prompt,Classificar imagens em tempo real,Propagar o erro para calcular os gradientes,Alocar memória na GPU,C,Ele calcula os gradientes do erro em relação aos pesos da rede; permitindo a otimização. 
O que define um modelo de IA "Open-weight"?,Qualquer um altera a estrutura mas não os pesos,O modelo só roda na nuvem da OpenAI,O modelo tem pesos que mudam sozinhos,Pesos disponíveis publicamente para download e uso,D,Modelos open-weight (como Llama ou Mistral) disponibilizam os pesos para execução local. 
Qual linguagem de programação domina o ecossistema de desenvolvimento de IA?,C++,JavaScript,Java,Python,D,Python domina devido à vasta gama de bibliotecas como PyTorch; TensorFlow e Hugging Face. 
Para que serve o "System Prompt" em uma API de LLM?,Controlar a velocidade de rede,Medir o custo por token,Configurar as credenciais de acesso,Definir comportamento; tom e regras da IA,D,O System Prompt dita as diretrizes fundamentais que guiam como a IA deve agir e responder. 
O que faz um Agente de IA (AI Agent)?,Apenas exibe gráficos de dados,Envia e-mails promocionais em massa,Toma decisões e executa ações de forma autônoma,Formata strings em Python,C,Agentes combinam LLMs com ferramentas (APIs; busca web) para resolver fluxos de trabalho complexos. 
Qual problema a arquitetura LSTM resolveu nas RNNs tradicionais?,A falta de suporte a texto em português,O alto custo de energia das GPUs,O sumiço do gradiente em sequências longas,A incapacidade de processar imagens,C,LSTMs introduziram portas de memória para reter informações por longos períodos em sequências. 
O que faz uma função de ativação Softmax na última camada de um classificador?,Calcula a raiz quadrada do erro,Zera todos os valores negativos,Aumenta o número de classes,Transforma saídas em probabilidades que somam 1,D,A Softmax converte scores brutos em probabilidades facilitando a escolha da classe mais provável. 
O que significa "Data Augmentation"?,Criar variações artificiais dos dados de treino,Aumentar a taxa de amostragem de dados,Comprar mais discos rígidos para o servidor,Mesclar dois bancos de dados SQL,A,Técnica usada (especialmente em visão computacional) para criar novas imagens rotacionando ou distorcendo as originais. 
O que é um "Vector Store"?,Um repositório Git para modelos,Banco focado em busca rápida de vetores de alta dimensão,Uma loja física que vende hardware de IA,Uma estrutura de dados exclusiva do C++,B,É o componente de armazenamento essencial para guardar embeddings de texto e fazer buscas rápidas no RAG. 
Qual ferramenta facilita rodar LLMs localmente no seu próprio computador via linha de comando?,Postman,Docker,Ollama,Kubernetes,C,O Ollama permite baixar e executar modelos como Llama e Mistral localmente com comandos simples. 
O que visa o aprendizado de máquina "AutoML"?,Criar jogos de computador de forma automática,Automatizar a criação de ponta a ponta de modelos de ML,Escrever documentação de código sozinha,Substituir programadores por robôs manuais,B,AutoML automatiza tarefas como seleção de algoritmos; engenharia de recursos e ajuste de hiperparâmetros. 
Qual o principal risco de treinar um modelo com dados tendenciosos?,O arquivo de pesos ficar corrompido,O modelo esquecer como ler textos,O modelo gerar predições com vieses e preconceitos,O modelo ficar lento,C,Modelos aprendem padrões dos dados de treino; se os dados forem preconceituosos; as predições serão enviesadas. 
O que avalia o "F1-Score"?,A média harmônica entre Precisão e Recall,A quantidade de parâmetros do Transformer,A velocidade de inferência do modelo,O consumo de memória RAM do script,A,É uma métrica balanceada que combina precisão e recall em um único indicador de performance. 
Qual arquitetura é comumente usada para gerar imagens a partir de texto (Text-to-Image)?,K-Means,Modelos de Difusão (Diffusion Models),RNN,Regressão Logística,B,Modelos de difusão (como Stable Diffusion) adicionam e removem ruído para gerar imagens realistas. 
O que significa "Model Drift"?,O modelo mudar de pasta no servidor,O modelo rodar em duas GPUs ao mesmo tempo,Queda de performance temporal por mudança nos dados reais,A alteração do código-fonte do algoritmo,C,Ocorre quando as propriedades dos dados do mundo real mudam; tornando o modelo obsoleto. 
Na API da OpenAI; o que faz o parâmetro "stop"?,Desliga o servidor de inferência,Especifica tokens que param a geração na hora,Pausa o treinamento do modelo,Encerra a assinatura do usuário,B,Permite definir palavras ou caracteres que interrompem a geração da resposta ao serem encontrados. 
O que faz a técnica de "Cross-Validation" (Validação Cruzada)?,Verifica se o código tem erros de sintaxe,Roda o modelo em dois sistemas diferentes,Duplica o dataset de teste,Divide dados em partes para treinar e testar o modelo,D,Ajuda a avaliar a capacidade de generalização do modelo testando em partições diferentes dos dados. 
Qual técnica permite que uma IA aprenda uma nova tarefa usando conhecimento de uma tarefa anterior?,Unsupervised Learning,Transfer Learning,Brute Force,Deep Learning,B,O Transfer Learning aproveita um modelo já treinado em um grande dataset para uma nova tarefa menor. 
O que é "Exploding Gradient" em redes neurais?,A exclusão acidental de neurônios,Gradientes que crescem muito tornando os pesos instáveis,Uma função de perda que chega a zero rápido,A GPU queimar por excesso de calor,B,Ocorre quando os gradientes crescem muito no treino; quebrando a convergência do modelo. 
Qual ferramenta open-source ajuda no monitoramento e ciclo de vida de modelos (MLOps)?,Angular,MLflow,Notion,Bootstrap,B,O MLflow é usado para gerenciar o ciclo de vida do aprendizado de máquina; incluindo tracking de experimentos. 
O que significa o termo "Parâmetros" em um LLM?,As linhas de código do script Python,Os servidores onde o modelo está hospedado,Os pesos internos da rede aprendidos no treino,As variáveis de configuração do prompt,C,Parâmetros (como os 7B do Llama-7B) são os pesos numéricos que determinam o comportamento da rede. 
O que faz um modelo de "Visão Computacional"?,Traduz áudio em texto em tempo real,Processa e extrai dados úteis de imagens e vídeos,Gera código de programação SQL,Otimiza consultas em bancos de dados,B,É a área da IA focada em fazer computadores entenderem o conteúdo visual. 
Qual formato de arquivo é muito comum para salvar pesos de modelos de forma segura e rápida?,JSON,HTML,TXT,Safetensors,D,Safetensors é um formato moderno; rápido e seguro contra execução de códigos maliciosos ao carregar pesos. 
O que é uma "Matriz de Confusão"?,Um erro de compilação em Python,Um tipo de rede neural convolucional,Um banco de dados não relacional desorganizado,Tabela para avaliar a performance de um classificador,D,Ela mostra os acertos e erros detalhados por classe (Verdadeiros Positivos; Falsos Negitivos etc). 
Em RAG; qual o papel do "reranker"?,Mudar o idioma do texto,Ordenar documentos recuperados por relevância para o LLM,Criar novos documentos sintéticos,Limpar espaços em branco das strings,B,O reranker refina os resultados da busca inicial garantindo que os trechos mais relevantes fiquem no topo. 
Qual o principal papel das funções de perda (Loss Functions)?,Medir o tempo de resposta da API,Validar a tipagem das variáveis,Dividir os dados em treino e validação,Medir quão longe as predições estão do valor real,D,A função de perda gera o valor de erro que guia o algoritmo na atualização dos pesos. 
O que faz a técnica "Chain of Thought" (Cadeia de Pensamento) em prompts?,Conecta vários LLMs em servidores diferentes,Força o modelo a responder com apenas uma palavra,Instrui o modelo a detalhar o raciocínio por passos,Faz o modelo rodar em loop infinito,C,Pedir para a IA pensar passo a passo melhora drasticamente o desempenho em tarefas lógicas e matemáticas.
Qual métrica avalia modelos de regressão calculando a média das diferenças absolutas?,Rerank Score,Acurácia,MAE (Mean Absolute Error),F1-Score,C,O MAE mede a magnitude média dos erros em um conjunto de previsões numéricas diretas. 
O que é "Grounding" no contexto de LLMs?,Basear as respostas em fontes de dados reais fornecidas,Limitar o uso de tokens por minuto,Treinar a IA usando computadores locais,Desligar o modelo em caso de pane geral,A,Grounding garante que a IA baseie suas respostas em fatos extraídos de um contexto fornecido. 
Qual arquitetura de rede neural é ideal para processar dados de grade como imagens?,CNN (Convolutional Neural Network),Transformer puro sem embeddings,Linear Regression,RNN,A,As Redes Neurais Convolucionais filtram características espaciais; sendo o padrão para imagens. 
O que significa a sigla MLOps?,Meta Language Operations,Model Line Optimization,Matrix Linear Options,Machine Learning Operations,D,Refere-se às práticas e ferramentas para automatizar e operacionalizar modelos de ML em produção. 
O que é a "Taxa de Aprendizado" (Learning Rate)?,A quantidade de tokens processados por segundo,O tamanho do passo dado pelo algoritmo para reduzir o erro,A velocidade de download do dataset,O número de horas que o modelo estuda por dia,B,Determina o quão rápido ou lento os pesos da rede são ajustados a cada iteração do treino. 
Qual técnica combina previsões de múltiplos modelos para obter um resultado mais robusto?,Single Model Inference,Ensemble Learning,Data Cleansing,Quantização,B,O Ensemble combina algoritmos (ex: Random Forest) para reduzir viés e variância; melhorando predições. 
Para que serve o algoritmo "Random Forest"?,Gerar textos aleatórios para blogs,Organizar pastas de arquivos no Linux,Classificação e regressão por árvores de decisão,Criar caminhos de rede seguros,C,É um algoritmo popular baseado em múltiplas árvores de decisão que votam no resultado final. 
O que é "Catastrophic Forgetting" em redes neurais?,O modelo apagar tarefas antigas ao aprender uma nova,A quebra física do disco rígido do servidor,A perda de chaves de API da OpenAI,O travamento da interface do usuário,A,Ocorre no aprendizado contínuo quando novos pesos apagam padrões aprendidos anteriormente.
Qual o principal objetivo da Engenharia de Prompt?,Consertar bugs em modelos abertos,Escrever códigos Python eficientes,Criar instruções otimizadas para melhores respostas,Hospedar modelos em servidores em nuvem,C,É a prática de projetar entradas textuais de forma que a IA entregue a resposta desejada. 
O que faz a técnica "Self-Attention" no Transformer?,Gera prompts automáticos para o usuário,Olhar para outras palavras da frase para obter contexto,Faz o modelo monitorar seu próprio uso de CPU,Criptografa as mensagens trocadas na API,B,Ajuda a correlacionar palavras vizinhas ou distantes; gerando uma compreensão profunda da frase. 
Em bancos de dados vetoriais; o que representa "HNSW"?,Um protocolo de segurança de rede,Um tipo de tokenizador de texto,Um formato de compressão de imagens,Algoritmo de indexação para busca de vizinhos próximos,D,O Hierarchical Navigable Small World é um dos algoritmos de indexação vetorial mais rápidos do mercado. 
O que faz um modelo do tipo "Encoder-only" (ex: BERT)?,Gera histórias criativas e textos longos,Converte código Python para C++,Entende o contexto textual para classificação e busca,Gera imagens a partir de prompts falados,C,Modelos baseados apenas em codificadores focam em compreender profundamente o texto fornecido. 
O que faz um modelo do tipo "Decoder-only" (ex: GPT)?,Traduz imagens para tabelas SQL,Reduz o tamanho de datasets de áudio,Apenas classifica emails como spam,Gera texto prevendo o próximo token da sequência,D,Focam na geração fluida de texto prevendo qual palavra deve vir a seguir na sequência. 
O que é "RLHF"?,Um tipo de banco de dados gráfico,Um formato de compactação de modelos,Uma biblioteca de gráficos em Python,Reinforcement Learning from Human Feedback,D,É o aprendizado por reforço com feedback humano; usado para alinhar o comportamento das LLMs com valores humanos. 
O que significa "Zero-bias" em uma rede neural?,Um modelo que não comete erros de predição,Um conjunto de dados perfeitamente limpo,Camada sem o termo de viés adicionado à soma,Um algoritmo sem hiperparâmetros,C,Refere-se à ausência do termo constante adicionado às multiplicações de entradas e pesos. 
Qual ferramenta da OpenAI permite executar funções do seu próprio código através do LLM?,Whisper,System Prompt,DALL-E,Function Calling (Ferramentas),D,O Function Calling permite que o modelo decida chamar funções externas descritas na estrutura do código. 
Qual a função da técnica "LORA" (Low-Rank Adaptation)?,Criar cópias de segurança do banco vetorial,Aumentar a resolução de imagens de satélite,Limpar logs antigos do servidor Apache,Reduzir parâmetros treináveis para um Fine-tuning rápido,D,O LoRA injeta matrizes menores no modelo acelerando e barateando o processo de fine-tuning. 
Se um modelo de classificação tem acurácia de 99% mas o dataset é altamente desbalanceado; o modelo pode ser ruim?,Sim porque ele consome muita memória RAM,Não porque acurácia é a única métrica que importa,Não porque 99% garante perfeição,Sim pois ele pode chutar só a classe majoritária,D,Em datasets desbalanceados a acurácia mascara falhas graves na detecção de classes minoritárias. 
Para que serve o framework "Streamlit" no contexto de desenvolvedores de IA?,Gerenciar clusters Kubernetes na nuvem,Criar interfaces web rápidas para apps de dados e IA,Otimizar drivers de placas de vídeo da Nvidia,Treinar modelos de bilhões de parâmetros,B,O Streamlit permite criar UIs web bonitas usando apenas código Python simples. 
O que caracteriza um modelo de Inteligência Artificial Geral (AGI)?,Um modelo especialista em medicina legal,IA hipotética que supera o homem em tarefas cognitivas,Um script simples que limpa planilhas de Excel,Um modelo que só sabe jogar xadrez,B,AGI representa uma inteligência ampla e adaptável; diferente das IAs estreitas atuais. 
O que faz o algoritmo "Gradient Boosting"?,Gera embeddings de som tridimensional,Calcula a distância entre servidores web,Cria modelos sequenciais onde um corrige o erro do outro,Ajusta a taxa de atualização do monitor de vídeo,C,É uma técnica de ensemble potente que constrói árvores de decisão sequencialmente para minimizar erros. 
Em modelos Generativos; o que significa "Pre-training"?,A limpeza de linhas em branco do dataset,O deploy do modelo em ambiente de homologação,Treino inicial massivo em grandes volumes de dados,A fase onde humanos avaliam as respostas do chat,C,É o estágio inicial onde o modelo aprende a estrutura básica della linguagem lendo a internet. 
Qual o principal papel da biblioteca "ChromaDB"?,Criar rotas de API em NodeJS,Servir como banco vetorial leve para desenvolvimento local,Executar scripts de bash em servidores remotos,Plotar gráficos de dispersão complexos,B,O ChromaDB é muito popular para desenvolvedores por rodar localmente e fácil integração em Python. 
Qual o impacto de definir a temperatura como 0 em um LLM?,O consumo de tokens cai pela metade,Tornar o modelo totalmente determinístico nas respostas,O modelo para de funcionar por erro crítico,A resposta é gerada em tempo recorde,B,Temperatura 0 remove a aleatoriedade fazendo o modelo escolher sempre o token mais provável. 
O que avalia a métrica de "Perplexidade" (Perplexity) em modelos de linguagem?,A velocidade de gravação em disco,O nível de confusão de um usuário humano,A quantidade de memória de vídeo livre,O quão bem um modelo prevê uma amostra de texto,D,Uma perplexidade menor indica que o modelo prevê o texto com maior precisão e confiança. 
O que significa "Multimodal" no contexto de IA?,Modelo capaz de processar texto; imagem e áudio,Uma IA que pode ser acessada por vários usuários,Um algoritmo escrito em mais de uma linguagem,Um modelo que roda em vários sistemas operacionais,A,IAs multimodais (como o GPT-4o) cruzam dados visuais; textuais e sonoros nativamente. 
O que faz o componente "Retrieval" dentro de um fluxo RAG?,Valida os tokens de pagamento da API,Busca documentos relevantes em um banco de dados,Gera uma resposta em formato JSON,Converte o texto final em áudio MP3,B,O retrieval recupera o conhecimento necessário no banco de dados para alimentar o prompt do LLM. 
O que evita que um modelo decore a ordem exata das perguntas de treino?,Mudar o banco de dados SQL para NoSQL,Aumentar o tamanho do prompt do sistema,Usar servidores em nuvem dedicados,Embaralhar os dados de treino a cada época,D,O shuffling quebra padrões sequenciais artificiais forçando o modelo a aprender conceitos estruturais. 
O que é o Hugging Face no ecossistema de desenvolvimento de IA?,Plataforma para partilhar modelos e datasets de IA,Um compilador de código Python,Um antivírus para servidores Linux,Um aplicativo de chat corporativo,A,Hugging Face funciona como o "GitHub" dos modelos e datasets de Inteligência Artificial. 
Qual técnica reduz o tamanho de uma imagem preservando suas principais características em uma CNN?,Convolution,Pooling (Max Pooling),Flattening,Dropout,B,O Pooling reduz a dimensionalidade espacial das matrizes de características na rede neural. 
Qual o principal perigo de uma IA sofrer de "Data Leakage" (Vazamento de dados)?,O servidor ser hackeado por terceiros,O prompt do sistema sumir da memória,Os dados salvos no banco ficarem ilegíveis,Dados de teste vazarem para o treino invalidando testes,D,Vazamento de dados causa métricas de performance falsamente altas no treino que despencam em produção. 
O que faz o comando "tiktoken" da OpenAI?,Limpa o cache da API local,Conta o número exato de tokens em uma string de texto,Gera imagens sintéticas em miniatura,Calcula o preço das ações da empresa,B,O tiktoken é uma biblioteca rápida de tokenização usada para counting de tokens e prever custos. 
O que é um "Hyperparameter" em aprendizado de máquina?,O resultado da predição final do modelo,Os dados que vazaram do conjunto de teste,Um tipo de processador avançado da Nvidia,Parâmetros de configuração definidos antes do treino,D,Hiperparâmetros (como learning rate e batch size) guiam a estrutura do treino e não mudam sozinhos. 
O que garante que uma IA generativa respeite a LGPD?,Rodar o modelo em servidores internacionais,Garantir anonimização e consentimento de dados no treino,Não usar bancos de dados vetoriais,Usar prompts muito longos,B,A conformidade com a LGPD exige proteção rígida contra exposição de dados pessoais sensíveis. 
Qual ferramenta gerencia ambientes virtuais em Python isolando dependências de IA?,NPM,Conda / Virtualenv,Maven,Docker Desktop,B,Conda e Virtualenv isolam pacotes evitando conflitos de versões de bibliotecas como PyTorch. 
O que faz a técnica de "Early Stopping" no treinamento de modelos?,Desliga o computador se faltar luz,Deleta arquivos duplicados no meio do processo,Roda o modelo em modo econômico,Para o treino se a perda na validação parar de cair,D,Early Stopping evita overfitting interrompendo o processo antes que o modelo decore os dados. 
Qual o papel do "Batch Size" no treino de redes neurais?,O tamanho máximo do prompt enviado,O número de amostras processadas em uma iteração,O limite de requisições por minuto da API,A quantidade de memória do HD do servidor,B,O batch size dita quantos registros a rede lê antes de calcular o erro e atualizar os pesos. 
O que define um modelo "MoE" (Mixture of Experts)?,Estrutura que ativa só sub-redes focadas por token,Um dataset focado em exames médicos,Um modelo que usa apenas experts humanos na validação,Um consórcio de empresas de tecnologia,A,Modelos MoE (como o Mixtral) economizam computação ativando partes especializadas do modelo por token. 
Como desenvolvedores evitam gargalos ao enviar contextos imensos para APIs de LLM?,Escrevendo em letras maiúsculas,Usando cache de contexto oferecido por provedores de API,Enviando imagens em vez de texto,Diminuindo a velocidade do processador,B,O Context Caching reduz custos e latência reutilizando blocos de textos gigantes enviados recentemente. 
O que indica uma "Loss" que não diminui em nada durante as primeiras épocas de treino?,O dataset terminou de rodar com sucesso,O modelo não está aprendendo por falhas nos dados/LR,A GPU está rápida demais,O modelo está funcionando perfeitamente,B,Uma curva de perda estável no topo mostra que o gradiente não está otimizando os pesos corretamente. 
Qual o primeiro passo prático após finalizar a prototipagem de um Agente de IA local?,Monitorar logs e avaliar respostas contra métricas em prod,Deletar os dados de embeddings,Trocar de sistema operacional,Reescrever tudo em Java,A,Avaliação contínua (LLM-as-a-judge ou testes com usuários) garante estabilidade e qualidade pós-deploy.
